method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,graph_relation_ablation,graph_message_ablation,graph_input_ablation,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,first_attack_window_step,first_chain_close_step,post_failure_chain_recovered,post_failure_chain_recovery_steps,chain_closed_during_failure_rate,tracking_during_failure_rate,connectivity_during_failure,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40000,0,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14645.067212975544,4788.404296875,41.21523258090019
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40001,1,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,42.41134627321933,0.0,0.0,0.0,47.0,44.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,14475.23020902593,4415.7607421875,42.050820261240005
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40002,2,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,44.29629499647353,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14941.653059895832,5387.70458984375,39.8944728076458
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40003,3,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,43.33333206176758,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15152.943281693892,5721.48583984375,39.098195016384125
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40004,4,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,45.3030289736661,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15115.544156161222,5771.921875,39.12293812632561
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40005,5,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,44.29629499647353,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14842.9419921875,5177.76708984375,40.28876677155495
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40006,6,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,43.33333206176758,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15141.976285067472,5793.642578125,39.214152455329895
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40007,7,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,44.29629499647353,0.0,0.0,0.0,45.0,42.0,45.0,-1.0,-1.0,-1.0,-1.0,-1.0,14842.254264322917,5169.46728515625,40.09300470352173
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40008,8,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,47.27272588556463,0.0,0.0,0.0,44.0,41.0,44.0,-1.0,-1.0,-1.0,-1.0,-1.0,15150.135109641335,5812.77392578125,38.82206308841705
EA-RG-MAPPO-S,results/intercept_3d_no_role_identity_baseline_formal/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,40009,9,30,straight,1.0,0.0,0,0.0,-1,0,0,none,none,no_role_identity,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,43.0,46.0,-1.0,-1.0,-1.0,-1.0,-1.0,14670.465554942255,4877.41064453125,41.17411258816719
