method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_dropout_prob,message_delay_steps,radar_dropout_prob,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40000,0,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14647.252207880434,4799.76123046875,41.20853051543236
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40001,1,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,42.41134627321933,0.0,0.0,0.0,47.0,14481.88513962766,4462.46826171875,42.015906661748886
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40002,2,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,44.29629499647353,0.0,0.0,0.0,45.0,14905.634483506945,5215.41943359375,40.02386927604675
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40003,3,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,45.3030289736661,0.0,0.0,0.0,44.0,15138.471368963068,5685.66552734375,39.036910474300385
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40004,4,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,45.3030289736661,0.0,0.0,0.0,44.0,15091.144153941761,5672.23193359375,39.19811028242111
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40005,5,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14832.077962239584,5137.13037109375,40.408970922231674
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40006,6,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,45.3030289736661,0.0,0.0,0.0,44.0,15118.197953657671,5676.91845703125,39.21118298172951
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40007,7,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.029629630512661403,0.4296296338240306,1.0,42.37036912706163,0.0,0.0,0.0,45.0,14832.464203559028,5143.3359375,40.203038424253464
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40008,8,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.03030303120613098,0.41666667095639487,1.0,45.3030289736661,0.0,0.0,0.0,44.0,15137.07118918679,5748.35546875,38.961692214012146
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40009,9,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.33333206176758,0.0,0.0,0.0,46.0,14666.952944548233,4833.6826171875,41.20938524603844
EA-RG-MAPPO-S,results/intercept_3d_multirelation_matched_protocol/runs/bc_only_seed0/actor_critic_best.pt,checkpoint,40010,10,30,straight,0.0,0,0.0,True,1.0,1.0,1.0,0.028985508110212242,0.44202898961046466,1.0,41.449274146038555,0.0,0.0,0.0,46.0,14619.376602836277,4738.78125,41.14291688799858
